Poop Vial ID,Field Poop Vial ID,Duplicate Sample?,Poop Time,FCM Analyzed?,FAM Analyzed?,Sample extracted if Two Samples,Extra Fecal Sample?,MeOH extraction volume (uL),EIA Lab,EIA done by,Date Cort EIA,Date Androgen EIA,Cort Dilution,Androgen Dilution,Cort Volume used,Androgen Volume Used,Cort Concentration,Cort CV,Cort Repeat?,Date Cort repeated,Cort Repeat Dilution,Cort Repeat Volume Used,Repeat Cort Concentration,Repeat Cort CV,Cort Final Concentration,Androgen Final Concentration,Androgen CV,Cort EIA Plate ID Run 1,Cort EIA Plate ID Repeat,Androgen EIA Plate ID,Cort High CV?,Androgen High CV?,BJD Repeated for Cort,,,,,,,,,,,,,,,,,,
A0935,,,,Yes,Yes,,,1000,Boonstra,BJD,26-May-11,5/13/11,32.33333333,9,5.6,10,15.779,45.7,Yes,5/27/11,32.33333333,5.6,19.102,,17.4405,11.3,4.9,C.2011.29,,T.2011.8,,,Y,,,,,,,,,,,,,,,,,,
A0954,,,,Yes,Yes,,,1000,Boonstra,BJD,23-May-11,5/13/11,32.33333333,9,5.6,10,19.332,30.4,Yes,5/26/11,32.33333333,5.6,17.417,,18.3745,9.114,9.2,C.2011.17,,T.2011.7,,,Y,,,,,,,,,,,,,,,,,,
A1003,,,,Yes,Yes,,,1000,Boonstra,BJD,22-May-11,5/12/11,32.33333333,9,5.6,10,10.174,22,Yes,5/24/11,32.33333333,5.6,9.412,,9.793,14.528,1.5,C.2011.16,,T.2011.4,,,Y,,,,,,,,,,,,,,,,,,
A1055,,,,Yes,Yes,,,1000,Boonstra,BJD,24-May-11,5/12/11,32.33333333,9,5.6,10,17.239,,,,,,,,17.239,9.508,7.7,C.2011.16,,T.2011.3,,,Y,,,,,,,,,,,,,,,,,,
A1122,,,,Yes,Yes,,,1000,Boonstra,BJD,24-May-11,5/12/11,32.33333333,9,5.6,10,16.866,0.7,,,,,,,16.866,24.454,18.2,C.2011.16,,T.2011.4,,,Y,,,,,,,,,,,,,,,,,,
A1145,,,,Yes,Yes,,,1000,Boonstra,BJD,24-May-11,5/12/11,32.33333333,9,5.6,10,19.129,7.8,,,,,,,19.129,10.242,1.4,C.2011.16,,T.2011.3,,,Y,,,,,,,,,,,,,,,,,,
A1154,,,,Yes,Yes,,,1000,Boonstra,BJD,23-May-11,5/13/11,32.33333333,9,5.6,10,16.804,34.7,Yes,5/26/11,32.33333333,5.6,19.717,,18.2605,15.9,4.8,C.2011.17,,T.2011.7,,,Y,,,,,,,,,,,,,,,,,,
A1162,,,,Yes,Yes,,,1000,Boonstra,BJD,22-May-11,5/12/11,32.33333333,9,5.6,10,13.808,28.5,Yes,,,,,,13.808,15.907,9,C.2011.8,,T.2011.4,Y,,Y,,,,,,,,,,,,,,,,,,
A1287,,,,Yes,Yes,,,1000,Boonstra,BJD,24-May-11,5/13/11,32.33333333,9,5.6,10,21.275,7,,,,,,,21.275,16.547,12.7,C.2011.16,,T.2011.6,,,Y,,,,,,,,,,,,,,,,,,
B0158,,,,Yes,Yes,,,1000,Boonstra,BJD,27-May-11,5/17/11,32.33333333,9,5.6,10,64.478,24.1,Yes,,,,,,64.478,14.136,0.1,C.2011.25,,T.2011.19,Y,,Y,,,,,,,,,,,,,,,,,,
B0312,,,,Yes,Yes,,,1000,Boonstra,BJD,26-May-11,5/16/11,32.33333333,9,5.6,10,37.418,,,,,,,,37.418,15.876,13.1,C.2011.22,,T.2011.15,,,Y,,,,,,,,,,,,,,,,,,
B0318,,,,Yes,Yes,,,1000,Boonstra,BJD,26-May-11,5/15/11,32.33333333,9,5.6,10,13.255,,Yes,5/23/11,32.33333333,5.6,12.69,22.9,12.9725,14.833,5,C.2011.17,,T.2011.12,,,Y,,,,,,,,,,,,,,,,,,
B0562,,,,Yes,Yes,,,1000,Boonstra,BJD,26-May-11,5/15/11,32.33333333,9,5.6,10,33.747,,Yes,5/23/11,32.33333333,5.6,31.827,29.3,32.787,13.025,1.5,C.2011.17,,T.2011.12,,,Y,,,,,,,,,,,,,,,,,,
B0671,,,,Yes,Yes,,,1000,Boonstra,BJD,26-May-11,5/18/11,32.33333333,9,5.6,10,74.03,6.3,,,,,,,74.03,13.191,2.5,C.2011.22,,T.2011.24,,,Y,,,,,,,,,,,,,,,,,,
B1140,,,,Yes,Yes,,,1000,Boonstra,BJD,26-May-11,5/14/11,32.33333333,9,5.6,10,12.873,2.1,,,,,,,12.873,15.423,1,C.2011.22,,T.2011.10,,,Y,,,,,,,,,,,,,,,,,,
B1219,,,,Yes,Yes,,,1000,Boonstra,BJD,28-May-11,5/21/11,32.33333333,9,5.6,10,27.876,14.1,Yes,5/31/11,32.33333333,5.6,28.595,13.1,28.2355,20.874,10.1,C.2011.33,,T.2011.32,,,Y,,,,,,,,,,,,,,,,,,
B2225,,,,Yes,Yes,,,1000,Boonstra,BJD,24-May-11,5/15/11,32.33333333,9,5.6,10,12.576,,,,,,,,12.576,6.562,26.1,C.2011.15,,T.2011.14,,Y,Y,,,,,,,,,,,,,,,,,,
B2575,,,,Yes,Yes,,,1000,Boonstra,BJD,26-May-11,5/14/11,32.33333333,9,5.6,10,47.814,3.1,,,,,,,47.814,11.819,5.8,C.2011.22,,T.2011.10,,,Y,,,,,,,,,,,,,,,,,,
B3265,,,,Yes,Yes,,,1000,Boonstra,BJD,30-May-11,5/29/11,32.33333333,9,5.6,10,35.5,24.6,Yes,,,,,,35.5,9.9425,1.9,C.2011.46,,T.2011.41,Y,,Y,,,,,,,,,,,,,,,,,,
B3937,,Y,,Yes,Yes,,,1000,Boonstra,BJD,30-May-11,5/29/11,32.33333333,9,5.6,10,8.221,23.2,Yes,,,,,,8.221,13.483,1.6,C.2011.46,,T.2011.41,Y,,Y,,,,,,,,,,,,,,,,,,
B4000,,Y,,Yes,Yes,,,1000,Boonstra,BJD,29-May-11,5/25/11,32.33333333,9,5.6,10,29.022,26.7,Yes,,,,,,29.022,65.32,6.8,C.2011.42,,T.2011.37,Y,,Y,,,,,,,,,,,,,,,,,,
B4016,,Y,,Yes,Yes,,,1000,Boonstra,BJD,29-May-11,5/25/11,32.33333333,9,5.6,10,393.679,49.8,,,,,,,393.679,39.926,7.1,C.2011.42,,T.2011.37,,,Y,,,,,,,,,,,,,,,,,,
B4043,,Y,,Yes,Yes,,,1000,Boonstra,BJD,30-May-11,5/30/11,32.33333333,9,5.6,10,9.864,21.1,,,,,,,9.864,11.576,2.6,C.2011.47,,T.2011.42,,,Y,,,,,,,,,,,,,,,,,,
B4501,,Y,,Yes,Yes,,,1000,Boonstra,BJD,30-May-11,5/30/11,32.33333333,9,5.6,10,37.075,38.3,Yes,,,,,,37.075,34.883,5.8,C.2011.47,,T.2011.42,Y,,Y,,,,,,,,,,,,,,,,,,
C0403,,,,Yes,Yes,,,1000,Boonstra,BJD,31-May-11,5/25/11,32.33333333,9,5.6,10,95.837,12.4,,30-Nov-16,,,78.054,6.647,95.837,26.985,3.7,C.2011.54,11.30.16.P3,T.2011.38,,,Y,,,,,,,,,,,,,,,,,,
C0453,,,,Yes,Yes,,,1000,Boonstra,BJD,31-May-11,5/21/11,32.33333333,9,5.6,10,20.205,4.9,,,,,,,20.205,14.44,2.7,C.2011.54,,T.2011.31,,,Y,,,,,,,,,,,,,,,,,,
C0684,,,,Yes,Yes,,,1000,Boonstra,BJD,29-May-11,5/25/11,32.33333333,9,5.6,10,45.77,74.7,,,,,,,45.77,71.306,9.7,C.2011.41,,T.2011.36,,,Y,,,,,,,,,,,,,,,,,,
C1347,,,,Yes,Yes,,,1000,Boonstra,BJD,29-May-11,5/25/11,32.33333333,9,5.6,10,41.933,17.6,Yes,5/31/11,32.33333333,5.6,33.214,10.5,37.5735,7.415,5.7,C.2011.41,,T.2011.36,,,Y,,,,,,,,,,,,,,,,,,
P0034,,,,Yes,Yes,,,1000,Boonstra,BJD,31-May-11,5/11/11,32.33333333,9,5.6,10,7.363,39.3,Yes,,,,,,7.363,16.735,14.3,C.2011.52,,T.2011.1,Y,,Y,,,,,,,,,,,,,,,,,,
P0680 ,,,,Yes,Yes,,,1000,Boonstra,BJD,31-May-11,5/11/11,32.33333333,9,5.6,10,16.02,34.8,Yes,,,,,,16.02,9.813,8.4,C.2011.52,,T.2011.1,Y,,Y,,,,,,,,,,,,,,,,,,
P0706 ,,,,Yes,Yes,,,1000,Boonstra,BJD,31-May-11,5/11/11,32.33333333,9,5.6,10,12.408,6.9,Yes,6/1/11,32.33333333,5.6,20.474,13.1,16.441,6.538,4.9,C.2011.52,,T.2011.1,,,Y,,,,,,,,,,,,,,,,,,
P0814 ,,,,Yes,Yes,,,1000,Boonstra,BJD,31-May-11,5/11/11,32.33333333,9,5.6,10,14.485,,Yes,6/1/11,32.33333333,5.6,17.48,24.1,14.485,6.89,1.7,C.2011.52,,T.2011.1,,,Y,,,,,,,,,,,,,,,,,,
P0825,,,,Yes,Yes,,,1000,Boonstra,BJD,31-May-11,5/11/11,32.33333333,9,5.6,10,17.25,5.8,Yes,6/1/11,32.33333333,5.6,24.525,,17.25,7.037,1.7,C.2011.52,,T.2011.1,,,Y,,,,,,,,,,,,,,,,,,
P0923,,,,Yes,Yes,,,1000,Boonstra,BJD,31-May-11,5/11/11,32.33333333,9,5.6,10,7.188,37.2,Yes,,,,,,7.188,6.169,13.6,C.2011.52,,T.2011.1,Y,,Y,,,,,,,,,,,,,,,,,,
P1381,,,,Yes,Yes,,,1000,Boonstra,BJD,1-Jun-11,,32.33333333,9,5.6,10,36.615,27.6,Yes,,,,,,36.615,4.415,,C.2011.56,,T.LTGrid.2008.12,Y,,Y,,,,,,,,,,,,,,,,,,
P2378,,,,Yes,,,,1000,Boonstra,BJD,15-May-11,,32.33333333,9,10,10,5.928,34,,,,,,,5.928,,,C.2011.2,,,,,Y,,,,,,,,,,,,,,,,,,
