"","litter_id","year","grid","squirrel_id","ln","part_date","part_source"
"212",453,1988,"SU",687,1,118,"weight"
"213",455,1988,"SU",692,1,124,"field"
"214",456,1988,"SU",709,1,115,"weight"
"215",460,1988,"SU",872,1,113,"field"
"216",462,1988,"SU",899,1,151,"weight"
"217",465,1988,"SU",1271,1,141,"field"
"218",470,1988,"SU",1516,1,126,"weight"
"219",514,1989,"KL",567,1,110,"trap"
"220",516,1989,"KL",584,1,111,"field"
"221",517,1989,"KL",695,1,NA,NA
"222",519,1989,"KL",699,1,116,"field"
"223",520,1989,"KL",701,1,103,"weight"
"224",521,1989,"KL",712,1,113,"weight"
"225",522,1989,"KL",810,1,NA,NA
"226",523,1989,"KL",848,1,98,"field"
"227",524,1989,"KL",874,1,114,"field"
"228",526,1989,"KL",880,1,81,"field"
"229",527,1989,"KL",881,1,110,"trap"
"230",528,1989,"KL",981,1,103,"field"
"231",531,1989,"KL",1218,1,111,"weight"
"232",533,1989,"KL",1319,1,106,"weight"
"233",534,1989,"KL",1321,1,113,"trap"
"234",535,1989,"KL",1397,1,101,"weight"
"235",537,1989,"KL",1890,1,NA,NA
"236",539,1989,"LL",400,1,98,"weight"
"237",540,1989,"LL",424,1,81,"field"
"238",541,1989,"LL",425,1,84,"field"
"239",544,1989,"LL",595,1,95,"weight"
"240",545,1989,"LL",601,1,83,"field"
"241",546,1989,"LL",611,1,104,"weight"
"242",547,1989,"LL",657,1,101,"weight"
"243",549,1989,"LL",662,1,87,"field"
"244",552,1989,"LL",729,1,100,"weight"
"245",554,1989,"LL",754,1,106,"weight"
"246",556,1989,"LL",826,1,109,"weight"
"247",557,1989,"LL",1026,1,NA,NA
"248",558,1989,"LL",1032,1,NA,NA
"249",559,1989,"LL",1042,1,94,"weight"
"250",561,1989,"LL",1144,1,97,"weight"
"251",562,1989,"LL",1180,1,NA,NA
"252",563,1989,"LL",1186,1,91,"field"
"253",567,1989,"LL",1268,1,119,"field"
"254",577,1989,"LL",1932,1,91,"field"
"255",582,1989,"SU",494,1,106,"field"
"256",585,1989,"SU",687,1,114,"weight"
"257",586,1989,"SU",688,1,NA,NA
"258",587,1989,"SU",692,1,110,"weight"
"259",588,1989,"SU",709,1,71,"field"
"260",589,1989,"SU",715,1,114,"weight"
"261",593,1989,"SU",852,1,112,"weight"
"262",594,1989,"SU",872,1,97,"field"
"263",595,1989,"SU",879,1,110,"weight"
"264",596,1989,"SU",899,1,NA,NA
"265",598,1989,"SU",1195,1,108,"trap"
"266",599,1989,"SU",1266,1,NA,NA
"267",600,1989,"SU",1271,1,104,"weight"
"268",601,1989,"SU",1278,1,NA,NA
"269",602,1989,"SU",1295,1,115,"weight"
"270",605,1989,"SU",1355,1,95,"field"
"271",606,1989,"SU",1516,1,100,"field"
"272",607,1989,"SU",1517,1,110,"field"
"273",609,1989,"SU",1689,1,101,"field"
"274",610,1989,"SU",1693,1,NA,NA
"275",611,1989,"SU",1935,1,87,"field"
"276",616,1989,"SU",8840,1,140,"field"
"277",617,1990,"AG",837,1,127,"field"
"278",618,1990,"AG",887,1,110,"field"
"279",619,1990,"AG",895,1,120,"field"
"280",620,1990,"AG",896,1,121,"field"
"281",621,1990,"AG",907,1,124,"field"
"282",622,1990,"AG",911,1,125,"field"
"283",623,1990,"AG",933,1,117,"field"
"284",624,1990,"AG",964,1,120,"field"
"285",625,1990,"AG",965,1,NA,NA
"286",627,1990,"AG",968,1,124,"field"
"287",629,1990,"AG",1006,1,NA,NA
"288",630,1990,"AG",1059,1,143,"field"
"289",650,1990,"KL",848,1,136,"weight"
"290",651,1990,"KL",874,1,135,"field"
"291",652,1990,"KL",875,1,144,"field"
"292",654,1990,"KL",881,1,123,"weight"
"293",660,1990,"KL",1218,1,144,"trap"
"294",664,1990,"KL",1321,1,NA,NA
"295",665,1990,"KL",1397,1,131,"weight"
