"","squirrel_id","litter_id","grid","year","mean_growth","cones_tm1","spr_density","age","bucket","bucket2","ls","std_Growt","std_LS","part_date","covariance","grid_year","scaled_part_date"
"26",19570,6125,"AG",2015,1.92083333333333,3.92173718541744,4.73985890652557,2,0,1,2,0.208616864955798,-1.38281478301974,83,0.0273461478158476,"AG_2015",-0.129518667326294
"27",19570,7906,"AG",2017,1.68913043478261,0.385431561719687,3.48324514991182,4,0,0,3,-0.0810377571229092,0.0830414468556627,118,0.0247654287306796,"AG_2017",0.607031382531644
"28",19583,7736,"KL",2017,1.41,0.314072879827348,2.54472159234064,4,0,0,4,-0.282366628038976,1.70440986473706,121,0.0263576039705465,"KL_2017",-0.937199218090059
"29",19583,8699,"KL",2018,1.6536231884058,2.04476444590038,2.19198790627362,5,0,0,3,0.241294427373776,0.454968652630072,115,0.0286759427946683,"KL_2018",-0.322230531240998
"30",19611,5817,"SU",2014,1.9974358974359,2.06010515786152,1.48652053413958,1,0,0,3,1.01535726935508,0,171,0.0146745448634751,"SU_2014",1.42168137951587
"31",19611,6516,"SU",2016,1.59583333333333,0,2.14159737969262,3,0,0,3,-0.87222463005098,0.755449447748818,97,0.00496567212094052,"SU_2016",-0.980951324086192
"32",19611,7739,"SU",2017,1.53466666666667,0.419754976854069,1.91484001007811,4,0,0,3,0.162064004484177,0.464485583222015,111,0.00709803924854906,"SU_2017",-1.78114730479561
"33",19611,8701,"SU",2018,2.04666666666667,1.47066329700388,1.68808264046359,5,0,0,3,0.76181963816864,0.48350116580804,101,0.0124507849656336,"SU_2018",-1.6311928680088
"34",19611,9075,"SU",2019,0.882608695652174,0.247520837372256,0.856638951877047,6,0,0,6,-0.596896230660697,1.83157461372673,165,-0.00393126537411519,"SU_2019",-1.09108945117996
"35",19649,5849,"KL",2014,2.23333333333333,2.58606650714206,1.66288737717309,1,0,0,3,1.45810942549704,-0.495349842958804,136,-0.0453265018743065,"KL_2014",0.0861663057620785
"36",19649,6517,"KL",2016,1.9125,0,3.04862685815067,3,0,0,2,0.653182367257489,-0.47708960455284,104,-0.0632040605091212,"KL_2016",-0.569583015007793
"37",19689,5903,"KL",2014,1.56293103448276,2.58606650714206,1.66288737717309,1,0,0,4,-0.186585810739431,0.538423742346526,155,-0.0615072144397826,"KL_2014",1.04117619462511
"38",19702,5950,"KL",2014,1.86847826086957,2.58606650714206,1.66288737717309,1,0,0,4,0.563011958458639,0.538423742346526,175,-0.055489110954705,"KL_2014",2.04644976184936
"39",19702,6195,"KL",2015,2.374,5.01362327092466,3.5525321239607,2,0,0,2,1.19239724393093,-0.999841759631892,89,-0.0997512014232407,"KL_2015",1.0347631598873
"40",19702,8704,"KL",2018,0.916049382716049,2.04476444590038,2.19198790627362,5,0,0,3,-1.95821286731849,0.454968652630072,118,-0.104903996285368,"KL_2018",0.0120460011678883
"41",19706,5888,"KL",2014,1.309375,2.58606650714206,1.66288737717309,1,0,0,4,-0.808633800055402,0.538423742346526,146,-0.106139190143337,"KL_2014",0.588803089374201
"42",19706,6134,"KL",2015,1.80625,5.01362327092466,3.5525321239607,2,0,0,4,-0.144375182690143,1.22202881732787,83,-0.102661654846891,"KL_2015",0.195078300634491
"43",19706,6520,"KL",2016,1.59333333333333,0,3.04862685815067,3,0,0,3,-0.209135738331319,1.03369414319782,105,-0.100638785936012,"KL_2016",-0.433378380984191
"44",19706,8925,"KL",2018,1.372,2.04476444590038,2.19198790627362,5,0,0,3,-0.598529672227727,0.454968652630072,107,-0.0994204355948563,"KL_2018",-1.2136346176647
"45",19707,6521,"KL",2016,1.96538461538462,0,3.04862685815067,3,0,0,2,0.796064961575779,-0.47708960455284,101,-0.115100317800664,"KL_2016",-0.978196917078601
"46",19707,8932,"KL",2018,1.43066666666667,2.04476444590038,2.19198790627362,5,0,0,3,-0.423580724348616,0.454968652630072,109,-0.113279444831756,"KL_2018",-0.990783596058772
"47",19719,6522,"KL",2016,0.889583333333333,0,3.04862685815067,3,0,0,2,-2.11051338890507,-0.47708960455284,107,-0.077895373458141,"KL_2016",-0.160969112936986
"48",19719,8941,"KL",2018,1.73333333333333,2.04476444590038,2.19198790627362,5,0,0,2,0.478996802209526,-1.0149300712517,138,-0.0954331365266039,"KL_2018",2.24055621722713
