"","squirrel_id","litter_id","grid","year","mean_growth","cones_tm1","spr_density","age","bucket","bucket2","ls","std_Growt","std_LS"
"28",19398,7729,"AG",2017,1.33055555555556,0.385431561719687,3.48324514991182,4,0,0,3,-0.88632984155289,0.0830414468556627
"29",19404,5847,"AG",2014,1.43611111111111,1.45918028713788,3.15255731922399,1,0,0,4,-0.492248731058607,0.681869616924817
"30",19404,6145,"AG",2015,1.646,3.92173718541744,4.73985890652557,2,0,1,3,-0.433294068919694,0.319111103773786
"31",19404,6504,"AG",2016,1.31866666666667,0,4.1005291005291,3,0,0,3,-0.947225150721465,0.247549640352635
"32",19436,5878,"AG",2014,1.303,1.45918028713788,3.15255731922399,1,1,1,4,-0.765144991263612,0.681869616924817
"33",19437,5879,"AG",2014,NA,1.45918028713788,3.15255731922399,1,0,0,NA,NA,NA
"34",19450,6022,"AG",2014,NA,1.45918028713788,3.15255731922399,1,0,0,NA,NA,NA
"35",19519,5867,"AG",2014,NA,1.45918028713788,3.15255731922399,1,1,1,4,NA,0.681869616924817
"36",19561,5851,"KL",2014,NA,2.58606650714206,1.66288737717309,1,0,0,2,NA,-1.52912342826413
"37",19561,6511,"KL",2016,2.14791666666667,0,3.04862685815067,3,0,0,2,1.28922640075315,-0.47708960455284
"38",19561,9074,"KL",2019,NA,0.488709492982028,1.53691106072058,6,0,0,4,NA,-0.190887400391392
"39",19561,9776,"KL",2020,2.02738095238095,5.80099961188205,1.33534895439657,7,0,0,4,0.409135353477829,0.754073902863898
"40",19570,5868,"AG",2014,1.31666666666667,1.45918028713788,3.15255731922399,1,0,0,1,-0.737126426985468,-2.54564656985265
"41",19570,6125,"AG",2015,1.92083333333333,3.92173718541744,4.73985890652557,2,0,1,2,0.208616864955798,-1.38281478301974
"42",19570,7906,"AG",2017,1.68913043478261,0.385431561719687,3.48324514991182,4,0,0,3,-0.0810377571229092,0.0830414468556627
"43",19583,5904,"KL",2014,NA,2.58606650714206,1.66288737717309,1,0,0,4,NA,0.538423742346526
"44",19583,7736,"KL",2017,1.41,0.314072879827348,2.54472159234064,4,0,0,4,-0.282366628038976,1.70440986473706
"45",19583,8699,"KL",2018,1.6536231884058,2.04476444590038,2.19198790627362,5,0,0,3,0.241294427373776,0.454968652630072
"46",19611,5817,"SU",2014,1.9974358974359,2.06010515786152,1.48652053413958,1,0,0,3,1.01535726935508,0
